Date,USD,EUR
1978-12-29,226.0,137.1
1979-01-01,226.0,137.1
1979-01-02,226.8,137.3
1979-01-03,218.6,134.0
1979-01-04,223.2,136.8
1979-01-05,225.5,138.4
1979-01-08,223.1,136.4
1979-01-09,224.0,137.3
1979-01-10,220.7,135.5
1979-01-11,220.7,135.9
1979-01-12,217.6,134.1
1979-01-15,216.9,133.8
1979-01-16,220.7,135.6
1979-01-17,227.3,139.2
1979-01-18,231.8,141.7
1979-01-19,230.6,141.1
1979-01-22,235.0,144.0
1979-01-23,230.0,141.1
1979-01-24,236.1,144.7
1979-01-25,233.9,144.0
1979-01-26,235.5,144.6
1979-01-29,235.2,145.3
1979-01-30,233.5,144.1
1979-01-31,233.7,144.8
1979-02-01,229.4,142.9
1979-02-02,230.3,143.5
1979-02-05,243.1,150.3
1979-02-06,244.5,150.8
1979-02-07,251.6,153.7
1979-02-08,250.5,153.5
1979-02-09,246.8,151.3
1979-02-12,244.3,150.0
1979-02-13,240.6,148.1
1979-02-14,240.7,148.3
1979-02-15,247.8,152.4
1979-02-16,247.1,152.2
1979-02-19,248.1,152.8
1979-02-20,247.0,152.2
1979-02-21,250.8,154.6
1979-02-22,252.4,155.4
1979-02-23,251.0,154.4
1979-02-26,248.6,152.7
1979-02-27,247.9,152.5
1979-02-28,251.3,154.6
1979-03-01,248.8,153.3
1979-03-02,248.0,152.8
1979-03-05,238.2,147.0
1979-03-06,239.8,147.9
1979-03-07,242.3,149.1
1979-03-08,239.2,147.1
1979-03-09,241.0,148.4
1979-03-12,240.0,148.0
1979-03-13,239.1,147.8
1979-03-14,239.5,147.8
1979-03-15,240.1,148.2
1979-03-16,244.0,150.8
1979-03-19,242.3,149.7
1979-03-20,242.1,149.4
1979-03-21,239.9,148.3
1979-03-22,242.9,149.9
1979-03-23,242.5,149.7
1979-03-26,245.3,151.0
1979-03-27,244.4,150.7
1979-03-28,244.4,150.7
1979-03-29,241.5,149.1
1979-03-30,240.1,148.0
1979-04-02,239.7,148.5
1979-04-03,240.0,148.8
1979-04-04,239.8,148.5
1979-04-05,240.7,149.1
1979-04-06,239.8,148.5
1979-04-09,240.2,149.9
1979-04-10,239.8,149.3
1979-04-11,238.4,148.3
1979-04-12,234.0,145.9
1979-04-13,234.0,145.9
1979-04-16,234.0,145.9
1979-04-17,231.9,144.8
1979-04-18,233.2,145.4
1979-04-19,240.9,149.9
1979-04-20,236.4,147.7
1979-04-23,236.9,147.8
1979-04-24,239.7,149.3
1979-04-25,241.8,150.4
1979-04-26,242.2,150.7
1979-04-27,243.7,151.2
1979-04-30,245.3,152.8
1979-05-01,247.3,152.8
1979-05-02,246.3,153.2
1979-05-03,246.5,153.3
1979-05-04,248.5,154.5
1979-05-07,248.5,154.5
